    M     N  Error blk      Time     MFLOPS   Error ref      Time     MFLOPS  Max MFLOPs
   10    10 0.227823       0.00       1.40 0.158391       0.00      24.84 25600
   30    30 0.093601       0.00    1491.57 0.104780       0.00    1159.60 25600
   50    50 0.061719       0.00    3358.00 0.072690       0.00    2958.85 25600
   70    70 0.043106       0.00    4240.29 0.050858       0.00    3854.79 25600
   90    90 0.042829       0.00    4803.44 0.060383       0.00    4340.35 25600
  110   110 0.037386       0.00    5337.44 0.042242       0.00    4940.79 25600
  130   130 0.033966       0.00    5317.25 0.049588       0.00    6319.51 25600
  150   150 0.029904       0.00    6557.66 0.032622       0.00    7689.75 25600
  170   170 0.029546       0.00    8007.23 0.036179       0.00    9015.01 25600
  190   190 0.026639       0.00    9234.06 0.026661       0.00   10625.86 25600
  210   210 0.023299       0.00   10890.36 0.025923       0.00   12568.30 25600
  230   230 0.023209       0.00   13011.31 0.024595       0.00   14610.50 25600
  250   250 0.021702       0.00   14610.97 0.020883       0.00   16933.09 25600
  270   270 0.021922       0.00   16727.55 0.025672       0.00   17102.36 25600
  290   290 0.019906       0.00   17640.13 0.023115       0.00   18822.44 25600
  310   310 0.017449       0.00   18149.29 0.019434       0.00   19293.86 25600
  330   330 0.017587       0.00   18742.44 0.019743       0.00   20050.15 25600
  350   350 0.016768       0.00   19122.50 0.017945       0.00   20566.97 25600
  370   370 0.016255       0.00   19803.42 0.021124       0.00   20806.09 25600
  390   390 0.015517       0.01   20286.90 0.019405       0.01   21373.98 25600
  410   410 0.014938       0.01   20488.52 0.017765       0.01   21732.06 25600
  430   430 0.015022       0.01   21036.19 0.016255       0.01   22216.36 25600
  450   450 0.014401       0.01   21411.14 0.016182       0.01   22400.62 25600
  470   470 0.014934       0.01   21671.56 0.015564       0.01   22865.82 25600
  490   490 0.013746       0.01   21880.11 0.015854       0.01   23239.59 25600
  510   510 0.012676       0.01   21130.44 0.013696       0.01   22004.98 25600
  530   530 0.012346       0.01   22474.45 0.014237       0.01   23683.76 25600
  550   550 0.012265       0.01   22611.77 0.014159       0.01   23906.60 25600
  570   570 0.012187       0.02   22436.59 0.012982       0.01   23928.52 25600
  590   590 0.011262       0.02   22727.99 0.018539       0.02   24065.04 25600
  610   610 0.010731       0.02   22930.60 0.013057       0.02   24243.87 25600
  630   630 0.011248       0.02   22497.80 0.012571       0.02   23764.70 25600
  650   650 0.011397       0.02   23123.24 0.013629       0.02   24454.79 25600
  670   670 0.011611       0.02   23145.99 0.013592       0.02   24447.09 25600
  690   690 0.010410       0.03   22570.44 0.011771       0.03   23710.76 25600
  710   710 0.010422       0.03   23250.51 0.012784       0.03   24538.78 25600
  730   730 0.009752       0.03   23299.04 0.011462       0.03   24556.30 25600
  750   750 0.009294       0.03   23322.84 0.011002       0.03   24520.50 25600
  770   770 0.009248       0.04   23095.78 0.010894       0.03   24200.87 25600
  790   790 0.009340       0.04   22999.42 0.010651       0.04   24214.49 25600
  810   810 0.008794       0.04   23289.50 0.011153       0.04   24610.70 25600
  830   830 0.009616       0.05   23082.16 0.010541       0.04   24346.35 25600
  850   850 0.008560       0.05   23226.85 0.012346       0.05   24584.21 25600
  870   870 0.008691       0.05   23485.39 0.012601       0.05   24953.18 25600
  890   890 0.008686       0.06   23506.51 0.009538       0.05   24886.17 25600
  910   910 0.008084       0.06   22967.61 0.009901       0.06   24279.66 25600
  930   930 0.007976       0.06   23538.79 0.014687       0.06   25157.52 25600
  950   950 0.008165       0.07   23014.13 0.009992       0.06   24504.07 25600
  970   970 0.008600       0.07   23585.29 0.010953       0.07   25237.42 25600
  990   990 0.007676       0.08   23607.82 0.009883       0.07   25225.59 25600
