    M     N Error unblk      Time     MFLOPS   Error ref      Time     MFLOPS 
   10    10 0.265844       0.00       2.26 0.137012       0.00      58.06  25600
   30    20 0.117237       0.00    2343.66 0.095898       0.00    1722.51  25600
   50    30 0.075788       0.00    4476.60 0.094062       0.00    3501.18  25600
   70    40 0.074588       0.00    5994.45 0.122552       0.00    3713.63  25600
   90    50 0.059001       0.00    7544.83 0.069250       0.00    6184.49  25600
  110    60 0.065934       0.00    7715.08 0.092904       0.00    6808.25  25600
  130    70 0.055249       0.00    8304.36 0.070400       0.00    7208.20  25600
  150    80 0.054267       0.00    8559.99 0.071336       0.00    7530.56  25600
  170    90 0.051153       0.00    8595.40 0.059690       0.00    7457.67  25600
  190   100 0.054048       0.00    8990.32 0.062804       0.00    7984.72  25600
  210   110 0.047187       0.00    9102.46 0.064106       0.00    8237.80  25600
  230   120 0.041437       0.00    9146.36 0.055319       0.00    8340.27  25600
  250   130 0.038845       0.00    8812.58 0.073446       0.00    8126.54  25600
  270   140 0.039272       0.00    8846.83 0.047083       0.00    8163.48  25600
  290   150 0.036633       0.00    8511.54 0.043847       0.00    7863.10  25600
  310   160 0.035308       0.00    8314.66 0.051878       0.00    7729.41  25600
  330   170 0.035699       0.00    8131.27 0.050032       0.00    7650.32  25600
  350   180 0.032510       0.00    7960.02 0.041064       0.00    7492.95  25600
  370   190 0.032917       0.00    7871.98 0.042963       0.00    7428.35  25600
  390   200 0.030975       0.00    7825.51 0.045660       0.00    7415.98  25600
  410   210 0.030533       0.00    7667.62 0.047565       0.00    7312.96  25600
  430   220 0.027548       0.01    7623.86 0.040169       0.01    7292.93  25600
  450   230 0.026652       0.01    7615.34 0.041784       0.01    7292.25  25600
  470   240 0.026122       0.01    7477.97 0.038322       0.01    7288.96  25600
  490   250 0.025556       0.01    7515.03 0.037240       0.01    7225.97  25600
  510   260 0.024594       0.01    6786.91 0.034887       0.01    6547.91  25600
  530   270 0.026308       0.01    7377.95 0.031992       0.01    7125.60  25600
  550   280 0.024285       0.01    7506.68 0.045050       0.01    7248.51  25600
  570   290 0.024499       0.01    7509.96 0.035921       0.01    7258.35  25600
  590   300 0.023431       0.01    7514.07 0.038427       0.01    7273.16  25600
  610   310 0.022757       0.01    7516.45 0.030986       0.02    7286.46  25600
  630   320 0.023110       0.02    7520.30 0.037244       0.02    7302.44  25600
  650   330 0.021540       0.02    7510.01 0.037395       0.02    7288.17  25600
  670   340 0.021477       0.02    7499.34 0.035427       0.02    7295.26  25600
  690   350 0.021604       0.02    7464.55 0.031747       0.02    7262.48  25600
  710   360 0.020786       0.02    7483.09 0.032299       0.02    7291.29  25600
  730   370 0.020383       0.03    7441.92 0.033829       0.03    7282.13  25600
  750   380 0.019981       0.03    7469.68 0.032878       0.03    7287.46  25600
  770   390 0.019485       0.03    7134.80 0.027306       0.03    6977.11  25600
  790   400 0.019975       0.03    7385.41 0.035597       0.03    7196.14  25600
  810   410 0.019124       0.04    7383.57 0.032675       0.04    7220.42  25600
  830   420 0.019468       0.04    7375.13 0.030954       0.04    7216.31  25600
  850   430 0.019941       0.04    7235.01 0.027039       0.04    7090.40  25600
  870   440 0.017903       0.04    7220.60 0.031342       0.05    7080.25  25600
  890   450 0.017549       0.05    7162.36 0.022733       0.05    7013.72  25600
  910   460 0.017769       0.05    7139.76 0.028058       0.05    6992.26  25600
  930   470 0.018253       0.06    7066.04 0.031366       0.06    6928.38  25600
  950   480 0.016779       0.06    7014.88 0.025871       0.06    6891.84  25600
  970   490 0.016622       0.06    6990.24 0.024538       0.07    6869.76  25600
  990   500 0.016803       0.07    6955.26 0.023882       0.07    6845.28  25600
