    M     N Error unblk      Time     MFLOPS   Error ref      Time     MFLOPS 
   10    10 0.154918       0.00       0.85 0.199763       0.00      20.97  25600
   30    20 0.142749       0.00     951.14 0.129554       0.00     764.78  25600
   50    30 0.087137       0.00    1456.46 0.082658       0.00    1655.37  25600
   70    40 0.085208       0.00    2354.53 0.076015       0.00    2331.11  25600
   90    50 0.063655       0.00    3167.88 0.073107       0.00    2800.40  25600
  110    60 0.056687       0.00    3475.28 0.073363       0.00    2988.00  25600
  130    70 0.052378       0.00    3729.06 0.075913       0.00    3259.15  25600
  150    80 0.051976       0.00    3854.24 0.058326       0.00    3557.07  25600
  170    90 0.045507       0.00    3997.35 0.087400       0.00    3575.93  25600
  190   100 0.049582       0.00    4451.25 0.048747       0.00    3913.35  25600
  210   110 0.039182       0.00    4738.01 0.054516       0.00    4280.49  25600
  230   120 0.042377       0.00    4875.23 0.055499       0.00    4417.47  25600
  250   130 0.040074       0.00    4732.41 0.046779       0.00    4866.75  25600
  270   140 0.035508       0.00    5370.05 0.047566       0.00    5150.03  25600
  290   150 0.035548       0.00    5233.97 0.047141       0.00    5157.36  25600
  310   160 0.034188       0.00    5737.12 0.041275       0.00    5530.65  25600
  330   170 0.032428       0.00    6095.15 0.067564       0.00    5957.65  25600
  350   180 0.032816       0.00    6382.58 0.044833       0.00    6236.18  25600
  370   190 0.030880       0.00    6682.06 0.037724       0.00    6317.43  25600
  390   200 0.029350       0.00    6672.23 0.040869       0.00    6347.75  25600
  410   210 0.028990       0.00    6681.12 0.042487       0.00    6370.03  25600
  430   220 0.028412       0.01    6642.91 0.048011       0.01    6353.75  25600
  450   230 0.025593       0.01    6557.31 0.037388       0.01    6264.36  25600
  470   240 0.024591       0.01    6501.26 0.039905       0.01    6264.93  25600
  490   250 0.028043       0.01    6479.49 0.036664       0.01    6233.69  25600
  510   260 0.026991       0.01    5862.79 0.039416       0.01    5669.11  25600
  530   270 0.023811       0.01    6374.65 0.041226       0.01    6159.73  25600
  550   280 0.026264       0.01    6486.28 0.034920       0.01    6261.21  25600
  570   290 0.023485       0.01    6481.05 0.037772       0.01    6265.83  25600
  590   300 0.025801       0.01    6496.38 0.042602       0.01    6288.90  25600
  610   310 0.022813       0.01    6493.05 0.046063       0.02    6297.86  25600
  630   320 0.022517       0.02    6497.85 0.038623       0.02    6303.11  25600
  650   330 0.021720       0.02    6489.42 0.036930       0.02    6301.02  25600
  670   340 0.022709       0.02    6470.68 0.035819       0.02    6283.35  25600
  690   350 0.021333       0.02    6443.78 0.033352       0.02    6270.30  25600
  710   360 0.020229       0.02    6470.86 0.026080       0.02    6297.84  25600
  730   370 0.019945       0.03    6442.73 0.031701       0.03    6280.50  25600
  750   380 0.019071       0.03    6424.74 0.031940       0.03    6286.92  25600
  770   390 0.019174       0.03    6208.77 0.026246       0.03    6066.35  25600
  790   400 0.019051       0.03    6412.00 0.035594       0.03    6265.09  25600
  810   410 0.019671       0.04    6368.43 0.044806       0.04    6221.37  25600
  830   420 0.019038       0.04    6365.47 0.028040       0.04    6217.26  25600
  850   430 0.018257       0.04    6270.54 0.036855       0.04    6136.92  25600
  870   440 0.018699       0.04    6318.62 0.032899       0.05    6187.89  25600
  890   450 0.017388       0.05    6306.48 0.027844       0.05    6184.61  25600
  910   460 0.018865       0.05    6271.74 0.026382       0.05    6153.43  25600
  930   470 0.017602       0.05    6257.97 0.028910       0.06    6150.46  25600
  950   480 0.017353       0.06    6221.98 0.029554       0.06    6116.87  25600
  970   490 0.017091       0.06    6176.26 0.023950       0.06    6065.09  25600
  990   500 0.017023       0.07    6151.20 0.024989       0.07    6032.23  25600
